"county_code","year","number_trees","trees_alive","species_richness","diameter","height","region"
27,2005,567,418,34,8.27119929453263,53.5114638447972,"Northwest"
27,2008,189,181,25,7.26719576719577,45.2539682539683,"Northwest"
27,2009,429,297,24,6.87261072261072,45.8107476635514,"Northwest"
27,2010,634,477,30,6.80788643533123,46.8406940063091,"Northwest"
27,2011,268,225,19,6.46309701492537,43.0671641791045,"Northwest"
27,2012,351,288,29,6.69179487179487,42.3646723646724,"Northwest"
27,2013,427,373,30,6.6651756440281,47.112676056338,"Northwest"
27,2014,513,419,27,6.79567514677104,47.0998043052838,"Northwest"
27,2015,421,297,29,7.38853403141361,48.782722513089,"Northwest"
27,2016,481,379,32,7.005625,50.7541666666667,"Northwest"
27,2017,452,245,25,7.08747787610619,48.3407079646018,"Northwest"
27,2018,339,219,26,6.91632835820895,47.110447761194,"Northwest"
27,2019,408,270,25,7.4932602739726,49.8657534246575,"Northwest"
27,2020,625,491,31,7.46929133858268,54.6338582677165,"Northwest"
27,2021,521,372,28,7.98935064935065,58.2831168831169,"Northwest"
27,2022,423,337,25,7.74383561643836,56.5397260273973,"Northwest"
27,2023,304,255,21,6.36996197718631,40.9809885931559,"Northwest"
27,2024,648,412,29,6.73191489361702,46.8912529550827,"Northwest"
27,2025,307,266,25,6.58455882352941,47.1066176470588,"Northwest"
29,1974,1698,1242,32,13.8385159010601,NA,"North Delta"
29,1984,746,457,31,13.5804289544236,74.6650124069479,"North Delta"
29,1991,900,790,31,14.5093333333333,79.9131782945736,"North Delta"
29,2001,52,45,12,8.76115384615385,48,"North Delta"
29,2002,207,190,25,11.5230917874396,57.6135265700483,"North Delta"
29,2003,173,157,23,10.4223121387283,56.5606936416185,"North Delta"
29,2004,321,255,27,13.2756386292835,65.9221183800623,"North Delta"
29,2005,185,147,20,11.8258918918919,58.1945945945946,"North Delta"
29,2008,31,30,8,8.06451612903226,44.7741935483871,"North Delta"
29,2009,206,169,24,7.15902912621359,45.2135922330097,"North Delta"
29,2010,67,48,15,7.49,45.7761194029851,"North Delta"
29,2011,145,131,18,8.82868965517241,49.1944444444444,"North Delta"
29,2012,132,94,17,9.55583333333333,59.6614173228346,"North Delta"
29,2013,118,95,17,10.8388983050847,60.2457627118644,"North Delta"
29,2014,103,82,15,7.35990196078431,43.4607843137255,"North Delta"
29,2015,96,57,16,9.8619696969697,52.469696969697,"North Delta"
29,2016,55,51,13,6.904,47.6,"North Delta"
29,2017,185,166,19,7.55810810810811,45.3243243243243,"North Delta"
29,2018,226,146,20,9.19034146341463,56.8390243902439,"North Delta"
29,2019,284,214,26,7.12803636363636,42.1418181818182,"North Delta"
29,2020,111,86,16,12.6369565217391,69.2173913043478,"North Delta"
29,2021,130,118,18,8.27731092436975,49.9663865546218,"North Delta"
29,2022,118,106,16,8.72727272727273,47.8272727272727,"North Delta"
29,2023,242,211,22,8.25642201834862,51.7935779816514,"North Delta"
29,2024,84,43,11,5.7,41,"North Delta"
29,2025,164,140,17,8.26965517241379,49.5103448275862,"North Delta"
31,1974,2299,1965,39,9.12849064810787,NA,"Northwest"
31,1984,1556,1133,48,8.86426735218509,65.1917613636364,"Northwest"
31,1991,2558,2205,51,8.66630179827991,71.3716951788492,"Northwest"
31,2001,585,517,38,8.77731623931624,54.5841924398625,"Northwest"
31,2002,596,417,33,8.67713087248322,53.4090909090909,"Northwest"
31,2003,638,534,36,9.13087774294671,54.7836990595611,"Northwest"
31,2004,505,365,30,7.89467326732673,46.8353174603175,"Northwest"
31,2005,409,280,22,6.92171149144254,45.5367647058824,"Northwest"
31,2008,20,16,9,8.92,49.2,"Northwest"
31,2009,263,193,18,7.31357414448669,46.7642585551331,"Northwest"
31,2010,428,370,30,8.33677570093458,53.6168224299065,"Northwest"
31,2011,573,343,35,7.83403141361257,49.2395104895105,"Northwest"
31,2012,496,287,33,8.12727822580645,52.087044534413,"Northwest"
31,2013,432,334,31,7.73865429234339,49.625,"Northwest"
31,2014,315,222,23,7.31238853503185,43.531847133758,"Northwest"
31,2015,193,113,15,7.51502923976608,45.5438596491228,"Northwest"
31,2016,341,294,27,8.51190615835777,57.2287390029325,"Northwest"
31,2017,452,308,35,7.6578982300885,49.429203539823,"Northwest"
31,2018,390,303,24,7.3098717948718,47.548717948718,"Northwest"
31,2019,537,407,35,8.15884328358209,53.1809701492537,"Northwest"
31,2020,500,387,28,8.12825552825553,54.6019656019656,"Northwest"
31,2021,402,333,27,7.09228571428571,47.9514285714286,"Northwest"
31,2022,179,164,16,7.5757225433526,49.9017341040462,"Northwest"
31,2023,427,305,30,8.19384615384615,55.4030769230769,"Northwest"
31,2024,352,287,31,8.72525597269625,55.2252559726962,"Northwest"
31,2025,395,277,30,7.88763250883392,51.7243816254417,"Northwest"
33,1974,607,488,40,10.9433278418451,NA,"Southeast"
33,1984,374,264,38,9.80106951871658,65.4324324324324,"Southeast"
33,1991,589,533,45,12.9573853989813,72.1009174311927,"Southeast"
33,2001,151,136,18,12.0494039735099,61.2913907284768,"Southeast"
33,2002,126,88,20,12.0343650793651,62.4126984126984,"Southeast"
33,2003,39,26,17,10.4907692307692,49.9487179487179,"Southeast"
33,2004,140,130,25,8.25685714285714,47.1071428571429,"Southeast"
33,2005,138,132,20,7.28057971014493,42.8623188405797,"Southeast"
33,2008,54,44,13,10.5796296296296,67.5185185185185,"Southeast"
33,2009,128,113,16,5.854375,40.456,"Southeast"
33,2010,145,115,23,8.79372413793103,57.0296296296296,"Southeast"
33,2011,229,194,18,6.94908296943231,47.7631578947368,"Southeast"
33,2012,85,69,17,8.28223529411765,57.0722891566265,"Southeast"
33,2013,168,153,26,7.01625,49.7185628742515,"Southeast"
33,2014,47,34,12,8.50021276595745,51.4468085106383,"Southeast"
33,2015,103,95,15,8.94009708737864,53.3398058252427,"Southeast"
33,2016,99,56,17,8.67737373737374,57.8484848484849,"Southeast"
33,2017,167,134,18,7.08473053892216,53.502994011976,"Southeast"
33,2018,119,102,19,7.60361344537815,49.7394957983193,"Southeast"
33,2019,161,101,16,6.40718518518519,48.7851851851852,"Southeast"
33,2020,294,111,27,7.74576271186441,53.7372881355932,"Southeast"
33,2021,41,22,11,9.34193548387097,56.0322580645161,"Southeast"
